"class_id","component_id","instance_id","panel"
"WP09C00617","1","B_o007_r01153","B"
"WP09C00617","1","B_o007_r01155","B"
"WP09C00617","1","B_o007_r01159","B"
"WP09C00617","1","B_o007_r01161","B"
"WP09C00618","1","B_o007_r01165","B"
"WP09C00618","1","B_o007_r01167","B"
"WP09C00619","1","B_o007_r01106","B"
"WP09C00619","1","B_o007_r01130","B"
"WP09C00620","1","B_o007_r01144","B"
"WP09C00621","1","B_o007_r01114","B"
"WP09C00622","1","B_o007_r01128","B"
"WP09C00623","1","B_o007_r01116","B"
"WP09C00624","1","B_o007_r01109","B"
"WP09C00624","1","B_o007_r01133","B"
"WP09C00625","1","B_o007_r01134","B"
"WP09C00626","1","B_o007_r01086","B"
"WP09C00627","1","B_o007_r01150","B"
"WP09C00628","1","B_o007_r01152","B"
"WP09C00629","1","B_o007_r01151","B"
"WP09C00630","1","B_o007_r01096","B"
"WP09C00631","1","B_o008_r01310","B"
"WP09C00632","1","B_o008_r01267","B"
